BHID,FROM,TO,NLITH,ZONE
VB2675,0,3,0,-
VB2675,2.5,3,1,
VB2675,3,226.186996,1,-
VB2675,226.186996,245.886902,2,1
VB2675,245.886902,259.886993,3,2
VB2675,259.886993,331.886993,4,-
VB2737,0,1.5,0,
VB2737,0,1.5,0,-
VB2737,1.5,138.837296,1,-
VB2737,138.837296,168.537292,2,1
VB2737,168.537292,200.537292,3,2
VB2737,200.537292,275.937317,4,-
VB2812,0,4.5,0,-
VB2812,4.5,183.317505,1,-
VB2812,183.317505,221.717499,2,1
VB2812,221.717499,283.717499,3,2
VB2812,283.717499,302.517487,4,-
VB2813,0,2,0,-
VB2813,2,235.741196,1,-
VB2813,235.741196,250.941193,2,1
VB2813,250.941193,279.041199,3,2
VB2813,279.041199,526.441223,4,-
VB2832,0,4,0,-
VB2832,4,190.280899,1,-
VB2832,190.280899,197.930893,2,1
VB2832,197.930893,219.130905,3,2
VB4266,0,3,0,-
VB4266,3,203.620605,1,-
VB4266,203.620605,210.320602,2,1
VB4266,210.320602,234.320602,3,2
VB4266,234.320602,247.320602,4,-
VB4267,0,2.5,0,-
VB4267,2.5,206.068405,1,-
VB4267,206.068405,215.368393,2,1
VB4267,215.368393,236.968399,3,2
VB4267,236.968399,246.768387,4,-
VB4269,0,2.5,0,-
VB4269,2.5,198.183304,1,-
VB4269,198.183304,198.383408,2,-
VB4269,198.383408,212.383408,2,1
VB4269,212.383408,252.9832,3,2
VB4270,0,4,0,-
VB4270,4,249.849899,1,-
VB4270,249.849899,259.549896,2,1
VB4270,259.549896,286.549896,3,2
VB4270,286.549896,322.549896,4,-
VB4271,0,8,0,-
VB4271,8,233.756302,1,-
VB4271,233.756302,241.756302,2,1
VB4271,241.756302,270.656403,3,2
VB4271,270.656403,281.656403,4,-
VB4272,0,3,0,-
VB4272,3,198.255997,1,-
VB4272,198.255997,202.955902,2,1
VB4272,202.955902,216.955902,3,2
VB4272,216.955902,250.355896,4,-
VB4280,0,6.1,0,-
VB4280,6.1,167.9216,1,-
VB4280,167.9216,190.221603,2,-
VB4280,190.221603,210.521606,2,1
VB4280,210.521606,234.9216,3,2
VB4280,234.9216,241.721588,4,-
VB4281,0,5,0,-
VB4281,5,220.015594,1,-
VB4281,220.015594,235.715607,2,-
VB4281,235.715607,254.715607,2,1
VB4281,254.715607,292.815613,3,2
VB4281,292.815613,303.615601,4,-
VB4282,0,2.5,0,-
VB4282,2.5,204.475403,1,-
VB4282,204.475403,220.475403,2,1
VB4282,220.475403,241.615402,3,2
VB4282,241.615402,243.775406,4,2
VB4282,243.775406,259.375412,4,-
VB4283,0,3.5,0,-
VB4283,3.5,174.034698,1,-
VB4283,174.034698,190.734695,2,1
VB4283,190.734695,212.734695,3,2
VB4283,212.734695,225.534714,4,-
VB4285,0,3,0,-
VB4285,3,226.800201,1,-
VB4285,226.800201,236.800201,1,1
VB4285,236.800201,246.500198,2,1
VB4285,246.500198,280.500214,3,2
VB4285,280.500214,288.000214,4,-
VB4286,0,1.5,0,-
VB4286,1.5,171.997604,1,-
VB4286,171.997604,208.297607,2,1
VB4286,208.297607,228.497604,3,2
VB4286,228.497604,243.297592,4,-
VB4287,0,5.2,0,-
VB4287,5.2,199.2155,1,-
VB4287,199.2155,199.415497,1,1
VB4287,199.415497,210.315506,2,1
VB4287,210.315506,232.315506,3,2
VB4287,232.315506,259.7155,4,-
VB4288,0,4,0,-
VB4288,4,233.941605,1,-
VB4288,233.941605,265.841614,2,1
VB4288,265.841614,283.841614,3,2
VB4288,283.841614,285.641602,4,-
VB4288,285.641602,321.441589,,-
VB4289,0,2.5,0,-
VB4289,2.5,200.509094,1,-
VB4289,200.509094,229.809097,2,1
VB4289,229.809097,235.709106,3,2
VB4289,235.709106,238.1091,4,-
VB4290,0,2,0,-
VB4290,2,202.928696,1,-
VB4290,202.928696,230.928696,2,1
VB4290,230.928696,245.228699,3,2
VB4290,245.228699,255.228699,4,-
VB4291,0,1.5,0,-
VB4291,1.5,208.243805,1,-
VB4291,208.243805,222.243805,2,1
VB4291,222.243805,242.243805,3,2
VB4291,242.243805,268.643768,4,-
VB4292,0,1.2,0,-
VB4292,1.2,250.114105,1,-
VB4292,250.114105,251.114105,1,1
VB4292,251.114105,271.114105,2,1
VB4292,271.114105,289.114105,3,2
VB4292,289.114105,306.114105,4,-
VB4292,306.114105,308.114105,4,
VB4293,0,0.8,0,-
VB4293,0.8,221.4832,1,-
VB4293,221.4832,250.783203,2,1
VB4293,250.783203,265.283203,3,2
VB4293,265.283203,290.083191,4,-
VB4294,0,0.5,0,-
VB4294,0.5,202.026703,1,-
VB4294,202.026703,216.026703,2,1
VB4294,216.026703,228.026703,3,2
VB4294,228.026703,237.226685,4,-
VB4295,0,0.6,0,-
VB4295,0.6,185.805695,1,-
VB4295,185.805695,199.805695,2,1
VB4295,199.805695,209.305695,3,2
VB4295,209.305695,230.305695,4,-
